Russian,надеть,натянуть,обмотать,обуть
English,put on,put on,wrap,put on
Spanish,poner,poner,poner,poner
Serbian,обући,навући,омотати,обути
Greek,dino,forao,forao,forao
Aghul,alikás,alikás,alikás,alikás
Yiddish,lilbosh,lilbosh,lasim,linol naalayim
Basque,jantzi,jantzi,hartu,jarri
German,anziehen,überziehen,umbinden,schlüpfen
Russian,надеть,надеть,надеть,надеть
English,put on,put on,put on,put on
Russian,надеть,надеть,повязать,надеть
Russian,надеть,натянуть,надеть,надеть
